,Month,Year,Day,Predicted
667,9.0,1996.0,10,1.3299701
668,9.0,1996.0,11,1.3306195
669,9.0,1996.0,12,1.3314767
670,9.0,1996.0,13,1.332381
671,9.0,1996.0,17,1.3320522
672,9.0,1996.0,18,1.3306204
673,9.0,1996.0,19,1.3300027
674,9.0,1996.0,20,1.329994
675,9.0,1996.0,24,1.3300493
676,9.0,1996.0,25,1.3290972
677,9.0,1996.0,26,1.3259199
678,9.0,1996.0,27,1.3254389
679,10.0,1996.0,1,1.3249054
680,10.0,1996.0,2,1.3234957
681,10.0,1996.0,3,1.3224673
682,10.0,1996.0,4,1.3223016
683,10.0,1996.0,8,1.323163
684,10.0,1996.0,9,1.3246399
685,10.0,1996.0,10,1.3256774
686,10.0,1996.0,11,1.3258439
687,10.0,1996.0,16,1.3263558
688,10.0,1996.0,17,1.3255091
689,10.0,1996.0,18,1.326136
690,10.0,1996.0,22,1.327939
691,10.0,1996.0,23,1.3315991
692,10.0,1996.0,24,1.3343923
693,10.0,1996.0,25,1.3374753
694,10.0,1996.0,29,1.3399905
695,10.0,1996.0,30,1.3425816
696,10.0,1996.0,31,1.3446927
697,11.0,1996.0,1,1.3468714
698,11.0,1996.0,5,1.3487065
699,11.0,1996.0,6,1.3506787
700,11.0,1996.0,7,1.3523461
701,11.0,1996.0,8,1.3527893
702,11.0,1996.0,13,1.3521155
703,11.0,1996.0,14,1.3521986
704,11.0,1996.0,15,1.3528394
705,11.0,1996.0,19,1.3532403
706,11.0,1996.0,20,1.3524811
707,11.0,1996.0,21,1.349539
708,11.0,1996.0,22,1.3492333
709,11.0,1996.0,26,1.3490809
710,11.0,1996.0,27,1.3483102
711,11.0,1996.0,28,1.3475801
712,12.0,1996.0,3,1.3471693
713,12.0,1996.0,4,1.3481885
714,12.0,1996.0,5,1.3497828
715,12.0,1996.0,6,1.3510396
716,12.0,1996.0,10,1.351425
717,12.0,1996.0,11,1.352435
718,12.0,1996.0,12,1.3521835
719,12.0,1996.0,13,1.3532078
720,12.0,1996.0,17,1.3502895
721,12.0,1996.0,18,1.3495333
722,12.0,1996.0,19,1.3484586
723,12.0,1996.0,20,1.3479842
724,12.0,1996.0,24,1.3473027
725,12.0,1996.0,25,1.3468441
726,12.0,1996.0,27,1.346382
